name,price,type,interface,capacity,price_per_gb,color
Apricorn Aegis Fortress L3,12999,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.65,Black
Western Digital My Book Duo,1199.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000,0.027,Black
Western Digital ELEMENTS,59.9,Portable,USB Type-A 3.2 Gen 1,1000,0.06,
Sabrent Rocket XTRM-Q,,Desktop,USB Type-C 3.2 Gen 2,16000,,
Western Digital WD_BLACK P10,119,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
Apricorn Aegis Fortress L3,1130.25,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.283,Black
Western Digital My Passport,97.99,Portable,USB Type-A 3.2 Gen 1,4000,0.024,Black
Samsung T9 Portable,299.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.075,Black
Verbatim Vx460,33.31,Portable,USB Type-A 3.2 Gen 1,128,0.26,Black
Samsung T5 EVO Portable,518.99,Portable,USB Type-C 3.2 Gen 1,8000,0.065,Black
Western Digital My Book Duo,999.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,0.028,Black
Western Digital WD_BLACK P10,69.98,Portable,USB Type-A 3.2 Gen 1,2000,0.035,Black
Seagate Backup Plus Portable,102.81,Portable,USB Type-A 3.2 Gen 1,4000,0.026,Black
Western Digital easystore,269.99,Desktop,USB Type-A 3.2 Gen 1,14000,0.019,Black
Western Digital ELEMENTS,159.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.02,Black
Samsung T7 Shield,298.36,Portable,USB Type-C 3.2 Gen 2,4000,0.075,Black
Seagate One Touch,83.33,Portable,USB Type-A 3.2 Gen 1,1000,0.083,Black
Western Digital My Passport,54.99,Portable,USB Type-A 3.2 Gen 1,1000,0.055,Black
Seagate Expansion,299.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.017,Black
SanDisk Extreme Portable V2,99.99,Portable,USB Type-C 3.2 Gen 1,1000,0.1,Black / Orange
Seagate One Touch,384.63,Desktop,USB Type-A 3.2 Gen 1,18000,0.021,Black
TEAMGROUP M200,799.99,Portable,USB Type-C 3.2 Gen 2x2,8000,0.1,Black
Western Digital My Passport,83.51,Portable,USB Type-A 3.2 Gen 1,2000,0.042,Black
Apricorn Padlock DT FIPS,1086.97,Desktop,USB Type-A 3.2 Gen 1,22000,0.049,Black
Seagate Expansion,499.99,Desktop,USB Type-A 3.2 Gen 1,24000,0.021,Black
SanDisk Extreme Portable V2,279.99,Portable,USB Type-C 3.2 Gen 1,4000,0.07,Black / Orange
Seagate Backup Plus,,Portable,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Passport,129.99,Portable,USB Type-A 3.2 Gen 1,5000,0.026,Black
Samsung T7 Portable,107.21,Portable,USB Type-C 3.2 Gen 1,1000,0.107,Black / Silver
Western Digital ELEMENTS,256.93,Desktop,USB Type-A 3.2 Gen 2,14000,0.018,Black
Western Digital My Book,269.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.019,Black
Western Digital WD_BLACK P10,107,Portable,USB Type-A 3.2 Gen 1,4000,0.027,Black
Apricorn Aegis Fortress L3,4999,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.312,Black
Corsair EX100U,309.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.077,Black
Seagate One Touch,199.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.025,Black
Western Digital ELEMENTS,209.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.021,Black
Samsung T7 Shield,179,Portable,USB Type-C 3.2 Gen 2,2000,0.089,Black
Crucial X10 Pro,304.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.076,Black
Crucial X10 Pro,204.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.102,Black
Western Digital easystore,330.99,Desktop,USB Type-A,20000,0.017,Black
Seagate Backup Plus Portable,119,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
Western Digital WD_BLACK D10,269.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.022,Black
Samsung T5,219.34,Portable,USB Type-C 3.2 Gen 1,1000,0.219,
TEAMGROUP PD20M Mag,82.99,Portable,USB Type-C 3.2 Gen 2,2000,0.041,Black
Apricorn Aegis Fortress,1152.99,Portable,USB Type-A 3.2 Gen 1,4000,0.288,Black
Western Digital WD_BLACK D10,187.1,Desktop,USB Type-A 3.2 Gen 2,8000,0.023,Black
Samsung T5 EVO Portable,229.99,Portable,USB Type-C 3.2 Gen 1,4000,0.057,Black
Kingston XS1000,74.98,Portable,USB Type-C 3.2 Gen 2,1000,0.075,Black
Western Digital My Passport,69.99,Portable,USB Type-A 3.2 Gen 1,2000,0.035,White
Seagate Backup Plus Hub,299,Desktop,USB Type-A 3.2 Gen 2,8000,0.037,
Western Digital My Book,238.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.02,Black
SanDisk Professional PRO-Blade Transport,334.86,Portable,USB Type-C 3.2 Gen 2x2,4000,0.084,Black
Seagate Expansion,189.95,Desktop,USB Type-A 3.2 Gen 1,4000,0.047,
Crucial X6,79.98,Portable,USB Type-C 3.2 Gen 2,1000,0.08,Black
Crucial X9,139.99,Portable,USB Type-C 3.2 Gen 2,2000,0.07,Black
Kingston XS2000,269.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.067,Silver
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,256,,Black
Samsung T9 Portable,134.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.135,Black
Corsair EX100U,149.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.075,Black
Toshiba Canvio Basics 3.0,101,Portable,,2000,0.05,
Seagate Expansion,329.99,Desktop,USB Type-A 3.2 Gen 1,2000,0.165,
Apricorn Aegis Fortress,2769,Portable,USB Type-A 3.2 Gen 1,8000,0.346,Black
SanDisk Extreme Portable V2,154.99,Portable,USB Type-C 3.2 Gen 1,2000,0.077,Black / Orange
Kingston XS1000,119.99,Portable,USB Type-C 3.2 Gen 2,2000,0.06,Black
Seagate Expansion,449.99,Desktop,USB Type-A 3.2 Gen 1,20000,0.022,Black
Seagate One Touch,316.68,Desktop,USB Type-A 3.2 Gen 1,14000,0.023,Black
Samsung T9 Portable,227.38,Portable,USB Type-C 3.2 Gen 2x2,2000,0.114,Black
Seagate Backup Plus Slim,59,Portable,USB Type-A 3.2 Gen 1,1000,0.059,Black
Toshiba Canvio Basics,68.54,Portable,USB Type-A 3.2 Gen 1,1000,0.069,
Western Digital My Book,179.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.022,Black
Crucial X9,84.99,Portable,USB Type-C 3.2 Gen 2,1000,0.085,Black
Western Digital My Book,119.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.03,Black
Western Digital easystore,319.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",18000,0.018,Black
