name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston NV2,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,289.99,4000,0.072,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,206.55,2000,0.103,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,159.99,2000,0.08,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,109.95,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,68,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,149,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,89.99,1000,0.09,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,119,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,112.99,2000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel SSDPEDMD020T401,3937,2000,1.968,SSD,,PCIe,PCIe x4
Samsung 990 Pro,109.99,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,63.99,1000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,57.59,1000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X,79.54,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,99.99,1000,0.1,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung 990 EVO,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 5.0 X2
TEAMGROUP MP44L,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,479.99,24000,0.02,7200,512,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,74.99,4000,0.019,5400,256,3.5,SATA 6.0 Gb/s
Mushkin Source HC,2377.37,16000,0.149,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,37.45,500,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,37.99,512,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,1159.5,8000,0.145,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,230,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,309.99,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 5.0 X2
TEAMGROUP MP44L,107.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,153.97,2000,0.077,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,45,1000,0.045,7200,64,3.5,SATA 6.0 Gb/s
Silicon Power UD90,98.97,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,164.99,2000,0.082,SSD,2048,2.5,SATA 6.0 Gb/s
Crucial T705,636.99,4000,0.159,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 QVO,619.99,8000,0.077,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,78.98,500,0.158,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,96.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,115.32,2000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,40.7,500,0.081,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,156.9,2048,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Platinum P41,166.74,2000,0.083,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,136.99,2000,0.068,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MK3276GSX,9.94,320,0.031,5400,8,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,58.75,1000,0.059,7200,64,3.5,SATA 6.0 Gb/s
Samsung 980,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,399.99,4000,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,319.99,4000,0.08,SSD,4096,2.5,SATA 6.0 Gb/s
Crucial P3,39.99,500,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,24.99,240,0.104,SSD,,2.5,SATA 6.0 Gb/s
Patriot Viper VP4300 Lite,107.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,126.89,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Silicon Power A60,53.97,1000,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,52.99,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
Crucial T700,139.99,1000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial T700,205.29,2000,0.103,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,30.99,512,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,134.99,2000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,19.98,256,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Fury Renegade,148.99,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,111.82,2000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MS30,46.99,1000,0.047,SSD,,M.2-2280,M.2 SATA
Crucial T500,154.99,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,80.84,1000,0.081,SSD,1024,2.5,SATA 6.0 Gb/s
Crucial T705,294.99,2000,0.147,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 Pro w/Heatsink,339.99,4000,0.085,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,149.99,2000,0.075,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO NH,899.99,8000,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Kingston KC3000,94.99,1024,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,569.99,24000,0.024,7200,512,3.5,SATA 6.0 Gb/s
VisionTek QLC,1281.99,8000,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,529.99,24000,0.022,7200,512,3.5,SATA 6.0 Gb/s
Silicon Power UD90,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,84.75,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,41.99,1000,0.042,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,58.6,500,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,150,4000,0.037,7200,256,3.5,SATA 6.0 Gb/s
Intel DC P3608,,4000,,SSD,,PCIe,PCIe x8
Patriot Viper VP4300 Lite,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,28.99,250,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,229.99,4000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,148,2000,0.074,SSD,2048,2.5,SATA 6.0 Gb/s
Crucial T500,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s
Kingston A400,34.99,480,0.073,SSD,,2.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,184.03,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,81.99,1000,0.082,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,219.97,4000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,53.99,960,0.056,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,72.99,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO XT,949.99,8000,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,15.29,128,0.119,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,229.99,4000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,199.99,2000,0.1,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Kingston Fury Renegade,94.99,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,79.75,500,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 5,729.99,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_Black SN850X,971.95,8000,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,95.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X w/Heatsink,159.94,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482 Eco-Pack,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X14,185.17,12000,0.015,7200,256,3.5,SATA 6.0 Gb/s
Klevv CRAS C910,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Timetec 35TTFP6PCIE,51.99,1000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV3,64.99,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,62.99,1000,0.063,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,29.99,512,0.059,SSD,,M.2-2280,M.2 SATA
Seagate Barracuda Compute,117.79,8000,0.015,5400,256,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,149.99,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,96.89,1000,0.097,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,264.99,4000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,34.99,512,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P210,88.99,2000,0.044,SSD,,2.5,SATA 6.0 Gb/s
