name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,34.9,1550,25.6,Black / Silver,
Cooler Master Hyper 212 Black Edition,29.99,"650,2000","6.5,26",Black,
Corsair iCUE H150i ELITE CAPELLIX XT,187.99,"550,2100","5,34.1",Black,360
NZXT Kraken Elite 360 RGB,299.99,"500,1800","17.9,30.6",White,360
Thermalright Phantom Spirit 120 SE,38.9,1500,25.6,Black / Silver,
Noctua NH-D15 chromax.black,119.95,"300,1500","19.2,24.6",Black,
Corsair iCUE H100x RGB ELITE,86,1500,"7,28",Black,240
ARCTIC Liquid Freezer III 360,90.08,"200,1800",,Black,360
Thermalright Phantom Spirit 120 SE ARGB,35.9,1500,25.6,Black / Silver,
Cooler Master MASTERLIQUID ML240L RGB V2,96.51,"650,1800","6,27",Black,240
NZXT Kraken Elite 360 RGB,299.99,"500,1800","17.9,30.6",Black,360
NZXT Kraken 240,129.99,"500,1800","17.9,30.6",Black,240
be quiet! Dark Rock Pro 5,87.82,"1300,2000","8.9,23.3",Black,
Thermalright Assassin X 120 Refined SE,17.89,1550,25.6,Black / Silver,
ARCTIC Liquid Freezer III 240,76.98,"200,1800",,Black,240
Cooler Master MasterLiquid 360L Core ARGB,93.99,"350,1750",27.2,Black,360
Asus ROG STRIX LC 360 RGB GUNDAM,1621,"800,2500",37.6,White,360
ARCTIC Liquid Freezer III 360 A-RGB,107.79,"200,2000",,Black,360
Noctua NH-D15,109.95,"300,1500","19.2,24.6",,
Thermalright Phantom Spirit EVO,49.9,2150,27,Black,
Thermalright Peerless Assassin 120 SE ARGB,36.9,1550,25.6,Black,
ARCTIC Liquid Freezer III 360 A-RGB,110.1,"200,2000",,White,360
ID-COOLING SE-214-XT ARGB,17.98,"500,1500","13.8,30.5",Black,
Thermalright Assassin King SE ARGB,20.09,1550,25.6,White,
be quiet! Pure Rock 2 Black,44.9,1500,"19.1,26.8",Black,
NZXT Kraken Elite 360,266.95,"500,1800","17.9,30.6",Black,360
Lian Li Galahad II Trinity SL-INF,158.95,2100,29,White,360
AMD Wraith Prism,,2800,42,,
Corsair iCUE H150i ELITE LCD XT,249.99,"550,2100","5,34.1",Black,360
Noctua NH-U12S chromax.black,89.95,"300,1500","18.6,22.4",Black,
NZXT Kraken 240 RGB,159.99,"500,1800","17.9,30.6",White,240
Thermalright Peerless Assassin 120 SE WHITE ARGB,55.9,1550,25.6,White,
NZXT Kraken 360,149.99,"500,1800","17.9,30.6",Black,360
Thermalright Assassin Spirit 120 EVO,26.9,2000,28.2,Black,
ARCTIC Freezer 36,28.48,"200,1800",,Black,
Lian Li Galahad II Trinity SL-INF,179.1,2100,29,Black,360
Thermalright Peerless Assassin 120 Black,45.79,1550,25.6,Black,
Thermalright Frozen Notte ARGB,50.9,2000,27.7,Black,240
Deepcool AK620 ZERO DARK,,"500,1850",28,Black,
ID-COOLING FROZN A410 BLACK,29.99,"500,2000",29.85,Black,
Iceberg Thermal IceFLOE T95,9.99,"1000,2200",32.3,Teal / Silver,
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",White,360
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"600,2500","14.8,23.6",Black,
Thermalright Aqua Elite V3,47.99,1500,25.6,White,240
Cooler Master MasterLiquid 240L Core ARGB,75.9,"350,1750",27.2,Black,240
Cooler Master Hyper 212 Spectrum V3,22.98,"650,1750",27.2,Black / Silver,
Corsair iCUE H100i RGB ELITE,117.99,"400,1850","5,28.9",Black,240
Noctua NH-U12A chromax.black,129.94,"450,2000","18.8,22.6",Black,
Noctua NH-L9a-AM4,44.95,"600,2500","14.8,23.6",Brown,
ARCTIC Liquid Freezer III 420,98.55,"200,1700",,Black,420
Cooler Master Hyper 212 (2023),29.99,"690,2500",32.8,Black,
ARCTIC Liquid Freezer III 280,86.23,"200,1700",,Black,280
Corsair iCUE LINK H150i LCD,210,"480,2400",,Black,360
Asus ROG RYUJIN II,558,"450,2000",29.7,Black,360
Thermalright Assassin X Refined SE ARGB,18.89,1550,25.6,Black / Silver,
Intel E97379-001,10.02,"1200,2800",22,Silver / Black,
Asus ROG Ryujin III ARGB,349.99,"600,2200",36.45,Black,360
Lian Li Galahad II LCD SL-INF,234.99,,29,Black,360
Corsair iCUE H150i ELITE CAPELLIX XT,221.99,"550,2100",,White,360
Thermalright AXP90-X47,22.9,2700,22.4,Black,
NZXT Kraken 240 RGB,179.99,"500,1800","17.9,30.6",Black,240
Deepcool AK400,,"500,1850",29,Black / Silver,
Cooler Master MasterLiquid 360L Core ARGB,88.99,"350,1750",27.2,White,360
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",Black,360
Corsair iCUE LINK H150i LCD,264.99,"480,2400",,White,360
ARCTIC Freezer 36,25.4,"200,1800",,Black / Silver,
Thermalright Peerless Assassin 120 White,54.19,1550,25.6,White,
Noctua NH-L9x65 chromax.black,69.9,"600,2500","14.8,23.6",Black,
Noctua NH-L12S,64.9,"450,1850","16.8,23.9",,
Thermalright Phantom Spirit,37.9,1500,25.6,Black / Silver,
be quiet! Pure Rock Slim 2,24.99,,"13.1,25.4",Black / Silver,
Thermalright Aqua Elite V3,58.9,1500,25.6,Black,240
