name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
AMD Ryzen 7 7800X3D,448.01,8,4.2,5,Zen 4,120,Radeon
AMD Ryzen 5 7600X,199.99,6,4.7,5.3,Zen 4,105,Radeon
AMD Ryzen 5 5600X,127,6,3.7,4.6,Zen 3,65,
AMD Ryzen 7 7700X,264.49,8,4.5,5.4,Zen 4,105,Radeon
AMD Ryzen 5 7600,198,6,3.8,5.1,Zen 4,65,Radeon
AMD Ryzen 9 7950X3D,599,16,4.2,5.7,Zen 4,120,Radeon
AMD Ryzen 5 5600,123,6,3.5,4.4,Zen 3,65,
AMD Ryzen 7 5800X,164.62,8,3.8,4.7,Zen 3,105,
Intel Core i5-12400F,111.99,6,2.5,4.4,Alder Lake,65,
AMD Ryzen 5 5500,87,6,3.6,4.2,Zen 3,65,
Intel Core i7-14700K,354.99,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770
Intel Core i9-14900K,445,24,3.2,6,Raptor Lake Refresh,125,Intel UHD Graphics 770
AMD Ryzen 9 7900X,399.99,12,4.7,5.6,Zen 4,170,Radeon
AMD Ryzen 7 5700X3D,209.99,8,3,4.1,Zen 3,105,
Intel Core i7-12700K,189,12,3.6,5,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 3600,89.95,6,3.6,4.2,Zen 2,65,
Intel Core i5-12600KF,134.99,10,3.7,4.9,Alder Lake,125,
AMD Ryzen 9 9950X,623.28,16,4.3,5.7,Zen 5,170,Radeon
AMD Ryzen 7 5700X,160.83,8,3.4,4.6,Zen 3,65,
AMD Ryzen 9 5900X,258.27,12,3.7,4.8,Zen 3,105,
AMD Ryzen 9 7900X3D,499.99,12,4.4,5.6,Zen 4,120,Radeon
AMD Ryzen 7 9700X,331.47,8,3.8,5.5,Zen 5,65,Radeon
Intel Core i7-12700KF,166,12,3.6,5,Alder Lake,125,
Intel Core i9-14900KS,635,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770
AMD Threadripper 3990X,2929.99,64,2.9,4.3,Zen 2,280,
AMD Ryzen 7 5800X3D,449,8,3.4,4.5,Zen 3,105,
Intel Core i9-12900K,264.99,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770
Intel Core i7-13700K,309,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 7500F,,6,3.7,5,Zen 4,65,
Intel Core i5-12600K,159,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 4500,69.99,6,3.6,4.1,Zen 2,65,
AMD Ryzen 7 3700X,143.92,8,3.6,4.4,Zen 2,65,
Intel Core i3-12100F,83.62,4,3.3,4.3,Alder Lake,58,
AMD Ryzen 5 5600G,139,6,3.9,4.4,Zen 3,65,Radeon Vega 7
AMD Ryzen 9 7950X,499.99,16,4.5,5.7,Zen 4,170,Radeon
Intel Core i5-13600K,235,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770
Intel Core i7-14700KF,327,20,3.4,5.6,Raptor Lake Refresh,125,
AMD Ryzen 7 7700,280,8,3.6,5.3,Zen 4,65,Radeon
Intel Core i9-13900K,416,24,3,5.8,Raptor Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 8500G,149,6,4.1,5,Zen 4,65,Radeon 740M
Intel Core i5-13400F,169,10,2.5,4.6,Raptor Lake,65,
AMD Ryzen 9 5950X,318.1,16,3.4,4.9,Zen 3,105,
AMD Ryzen 5 8600G,169.74,6,4.3,5,Zen 4,65,Radeon 760M
AMD Ryzen 9 9900X,439,12,4.4,5.6,Zen 5,120,Radeon
Intel Core i9-14900KF,417.99,24,3.2,6,Raptor Lake Refresh,125,
AMD Ryzen 5 9600X,279,6,3.9,5.4,Zen 5,65,Radeon
AMD Ryzen 7 5700G,167.31,8,3.8,4.6,Zen 3,65,Radeon Vega 8
Intel Core i7-13700KF,260,16,3.4,5.4,Raptor Lake,125,
Intel Core i5-14600K,234.99,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770
AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon
Intel Core i5-13600KF,207,14,3.5,5.1,Raptor Lake,125,
AMD Ryzen 7 8700G,279,8,4.2,5.1,Zen 4,65,Radeon 780M
Intel Core i5-10400F,99.47,6,2.9,4.3,Comet Lake,65,
