name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,7999,Circumaural,"6,75",false,false,Open,Silver / Brown
HP HyperX Cloud II,79,Circumaural,"15,25",true,false,Closed,Black / Red
Razer BlackShark V2 X,46.89,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",289.99,Circumaural,"10,40",true,true,Closed,Black
Logitech G435,49.88,Circumaural,"20,20",true,true,Closed,Black / Yellow
Logitech PRO X 2 LIGHTSPEED,224,Circumaural,"20,20",true,true,Closed,Black
Corsair VOID RGB ELITE,108.15,Circumaural,"20,30",true,true,Closed,White
Beyerdynamic DT 770 PRO,169.99,Circumaural,"5,35",false,false,Closed,Gray
Logitech Pro X,99.99,Circumaural,"20,20",true,false,Closed,Black
Razer BlackShark V2 Pro (2023),194.95,Circumaural,"12,28",true,true,Closed,Black
SteelSeries Arctis 1,65,Circumaural,"20,20",true,false,Closed,Black
Logitech G733,134.99,Circumaural,"20,20",true,true,Closed,White / Gray
HP HyperX Cloud Alpha,89.99,Circumaural,"13,27",true,false,Closed,Black / Red
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Black
Corsair VOID RGB ELITE,79.98,Circumaural,"20,30",true,true,Closed,Black
Logitech G432,38.49,Circumaural,"20,20",true,false,Closed,Black / Blue
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"20,20",true,true,Closed,White
Yamaha EPH-20PI,4.99,In Ear,"20,21",false,false,Closed,Black / Pink
HP HyperX Cloud,,Circumaural,"15,25",true,false,Closed,Black / White
Beyerdynamic DT990 Premium Limited-Edition,179.99,Circumaural,"5,35",false,false,Open,Black
Logitech ASTRO A50 X,379.99,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 7,127.88,Circumaural,"20,22",true,true,Closed,Black
HP HyperX Cloud III,129.99,Circumaural,"10,21",true,true,Closed,Black
Patriot V360,15.99,Circumaural,,true,false,Closed,Black / Red
HiFiMAN HE1000,1999,Circumaural,"8,65",false,false,Open,Silver / Brown
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"20,20",true,false,Closed,Black / Green
Astro A50 + Base Station,230,Circumaural,"20,20",true,true,Closed,Black / Gold
Final D8000,3799,Circumaural,,false,false,Closed,Black / Silver
Sennheiser HD 800 S,1499.95,Circumaural,"4,51",false,false,Open,Black / Silver
Beyerdynamic DT 990 Pro 250,,Circumaural,"5,35",false,false,Open,Black / Gray
Logitech G733,134.98,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Pro Wireless,429,Circumaural,"10,40",true,true,Closed,White
Razer Barracuda Pro,199.99,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 1,45.61,Circumaural,"20,22",true,false,Closed,Black
Razer Kraken Kitty,143.05,Circumaural,"20,20",true,false,Closed,Pink
Razer Kraken V3 X,44.99,Circumaural,"12,28",true,false,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",289,Circumaural,"10,40",true,true,Closed,White / Silver
Beyerdynamic DT1990 Pro,449,Circumaural,"5,40",false,false,Open,Black
Corsair HS80 RGB,119.99,Circumaural,"20,40",true,true,Closed,Black
Sennheiser HD 650,345,Circumaural,"10,39.5",false,false,Open,Black
Razer Barracuda X,97.99,Circumaural,"20,20",true,true,Closed,White / Gray
HP HyperX Cloud Alpha,144.27,Circumaural,"15,21",true,true,Closed,Black / Red
Razer BlackShark V2 Pro (2023),199.99,Circumaural,"12,28",true,true,Closed,White / Black
Audio-Technica ATH-M50x,149,Circumaural,"15,28",false,false,Closed,Black / Silver
SteelSeries Arctis 1,74.95,Circumaural,"20,20",true,true,Closed,Black
Corsair VIRTUOSO RGB Wireless XT,194.99,Circumaural,"20,40",true,true,Closed,Black / Silver
Sennheiser HD 560S,175.99,Circumaural,"6,38",false,false,Open,Black
HP HyperX CloudX,49.99,Circumaural,"15,25",true,false,Closed,Black / Silver
Logitech Pro X,129.99,Circumaural,"20,20",true,true,Closed,Black
Razer Barracuda X,79.98,Circumaural,"20,20",true,true,Closed,Black
Logitech G735,199.99,Circumaural,"20,20",true,true,Closed,White
SteelSeries Arctis Pro,209.95,Circumaural,"10,40",true,true,Closed,Black
Corsair Virtuoso RGB,199.99,Circumaural,"20,40",true,true,Closed,White
Philips SHP9500,79.98,Circumaural,"12,35",false,false,Open,Black
Audeze Maxwell for Xbox Series X|S,308.95,Circumaural,"10,50",true,true,Closed,Black / Green
Razer Kraken V3 Pro,199,Circumaural,"20,20",true,true,Closed,Black
HP HyperX Cloud II,89.99,Circumaural,"15,20",true,true,Closed,Black / Red
Logitech ASTRO A50 X,379.99,Circumaural,"20,20",true,true,Closed,White
Beyerdynamic DT 900 Pro X,269.99,Circumaural,"5,40",false,false,Open,Black / Gray
Razer BlackShark V2 Pro,129.99,Circumaural,"12,28",true,true,Closed,Black
