name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core,39.99,Gaming,,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech K120,12.99,Standard,,,false,Wired,Black
Redragon K552,39.99,Gaming,Outemu Blue,Red,true,Wired,Black
Razer Huntsman Mini,94,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Microsoft Natural Desktop 7000,799.95,Ergonomic,,,false,Wireless,Black / Silver
Razer Huntsman V3 Pro,219.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Logitech G915 Lightspeed,159.99,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 RGB PRO,149.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
iBuypower MEK 4,1299.99,Gaming,Cherry MX Brown,RGB,false,Wired,Black
SteelSeries Apex Pro TKL (2023),249.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Verbatim 99201,10,Standard,,,false,Wired,Black
SteelSeries Apex 3 TKL RGB,34.97,Gaming,,RGB,true,Wired,Black
Razer Huntsman Mini,98.49,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
Redragon K582 SURARA,39.99,Gaming,Outemu Red,RGB,false,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,29.99,Gaming,Roccat Titan Red,RGB,false,Wired,Black
Logitech PRO X,159.99,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
SteelSeries Apex Pro,167.66,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Corsair K55 RGB PRO,49.88,Gaming,,Multicolor,false,Wired,Black
Logitech G413 SE,59.99,Gaming,Kailh LT Brown,White,true,Wired,Black
Razer BlackWidow V3,88.99,Gaming,Razer Green,RGB,true,Wired,Black
Logitech G19s,699.06,Gaming,,,false,Wired,Black
Logitech G915 TKL,129.99,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech Wireless Combo MK270,27.99,Standard,,,false,Wireless,Black
HP HyperX Alloy Origins Core,84.99,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G PRO,88.94,Gaming,GX Blue,RGB,true,Wired,Black
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Logitech G213 PRODIGY,39.99,Gaming,,RGB,false,Wired,Black
Asus ROG Azoth,164.99,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro Mini,129.09,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Asus ROG Strix Scope II 96,159.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K95 RGB PLATINUM,297.47,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Gunmetal
Logitech G512 CARBON,99.99,Gaming,GX Brown,RGB,false,Wired,Black
Razer Ornata V3 X,34.97,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V3 Pro,319,Gaming,Razer Yellow,RGB,false,Wireless,Black
Logitech G715,147.44,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Cooler Master SK620,29.99,Gaming,TTC Red,RGB,true,Wired,Gray / Black
Logitech MK120,15.49,Slim,,,false,Wired,Black
Corsair K65 PLUS,159.99,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
SteelSeries Apex Pro TKL (2023),149.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Keychron C3 Pro,36.99,Standard,Keychron K Pro Red,Red,true,Wired,Black / Red
Cooler Master SK620,24.99,Gaming,TTC Blue,RGB,true,Wired,Silver / White
Asceny One,19.98,Mini,Gateron Blue Optical,RGB,true,Wired,Black
SteelSeries Apex 7 TKL,79.98,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
Keychron Q3 Pro Special Edition,410.24,Standard,Keychron K Pro Red,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,false,Wired,Black
G.Skill KM360,49.99,Standard,Cherry MX Red,White,true,Wired,White
DROP CTRL,388.68,Gaming,Cherry MX Brown,RGB,true,Wired,Silver / Black
Corsair K100 AIR Wireless,266.58,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Keychron C2,78.98,Standard,Gateron G Pro Brown Hot-swappable,White,false,Wired,Black / White
Logitech MX 5500 Revolution,741.69,Standard,,,false,Wireless,Black
Redragon S101,39.99,Gaming,,,false,Wired,Black / Red
Corsair K70 RGB PRO,179.99,Gaming,Corsair OPX,RGB,false,Wired,White
Razer Ornata V3,59.99,Gaming,,RGB,true,Wired,Black
Razer Huntsman Mini,84.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Logitech G613,79.99,Standard,Romer-G Tactile,,false,Wireless,Black
MSI Vigor GK30,39.99,Gaming,,RGB,false,Wired,Black
Corsair K65 60%,109.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,Black
Keychron C3 Pro,36.99,Standard,Keychron K Pro Brown,Red,true,Wired,Black / Red
Razer BlackWidow V3,89.99,Gaming,Razer Yellow,RGB,true,Wired,Black
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,true,Wired,White
Razer BlackWidow Lite,49.95,Gaming,Razer Orange,White,true,Wired,Black
Lenovo 300,13.99,Slim,,,false,Wired,Black
