name,price,socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,149.99,AM5,ATX,192,4,Black
MSI B550 GAMING GEN3,99.99,AM4,ATX,128,4,Black
Asus ROG STRIX B650-A GAMING WIFI,233.19,AM5,ATX,192,4,Black / Silver
ASRock B650M Pro RS WiFi,149.99,AM5,Micro ATX,192,4,Black / Silver
Gigabyte B650 EAGLE AX,159.99,AM5,ATX,192,4,Gray / Black
Asus PRIME B550M-A WIFI II,99.99,AM4,Micro ATX,128,4,Blue / Silver
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192,4,Black / Silver
MSI MAG B650 TOMAHAWK WIFI,199.99,AM5,ATX,192,4,Black
MSI PRO B650-S WIFI,125.9,AM5,ATX,192,4,Black
Gigabyte B650 AORUS ELITE AX,199.99,AM5,ATX,192,4,Black / Silver
MSI PRO Z790-A MAX WIFI,222.87,LGA1700,ATX,192,4,Silver / Black
MSI MAG B550 TOMAHAWK MAX WIFI,155.99,AM4,ATX,128,4,Silver / Black
Gigabyte B650 AORUS ELITE AX ICE,209.99,AM5,ATX,192,4,Silver
MSI MAG X670E TOMAHAWK WIFI,249,AM5,ATX,192,4,Black
MSI PRO B650M-P,119.99,AM5,Micro ATX,192,4,Black / Silver
MSI B550M PRO-VDH WIFI,89.99,AM4,Micro ATX,128,4,Black
ASRock B660M Pro RS,94.99,LGA1700,Micro ATX,128,4,Gray / Black
Asus ROG STRIX Z790-A GAMING WIFI II,339.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte A520M K V2,88.99,AM4,Micro ATX,64,2,Brown / Black
Asus ROG STRIX B650E-F GAMING WIFI,254.5,AM5,ATX,192,4,Black
ASRock B450M-HDV R4.0,59.99,AM4,Micro ATX,64,2,Black / White
Gigabyte B550M K,94.99,AM4,Micro ATX,128,4,Brown / Silver
MSI B450M-A PRO MAX II,91.5,AM4,Micro ATX,64,2,Black
Asus ROG STRIX B550-F GAMING WIFI II,179.99,AM4,ATX,128,4,Black / Red
Asus TUF GAMING B650-PLUS WIFI,209,AM5,ATX,128,4,Black
Asus Prime B450M-A II,79.98,AM4,Micro ATX,128,4,
Asus ROG ZENITH II EXTREME ALPHA,1989,sTRX4,EATX,256,8,Black / Silver
Asus ROG STRIX B650E-I GAMING WIFI,279.99,AM5,Mini ITX,96,2,Black
MSI PRO H610M-G DDR4,79.98,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte B650 GAMING X AX V2,179.99,AM5,ATX,192,4,Gray / Black
ASRock B650I Lightning Wifi,199.99,AM5,Mini ITX,96,2,Black
ASRock A620I LIGHTNING WIFI,129.99,AM5,Mini ITX,96,2,Black
MSI PRO B650M-A WIFI,149.99,AM5,Micro ATX,192,4,Black
Gigabyte Z790 AORUS ELITE AX,229.99,LGA1700,ATX,192,4,Black
Gigabyte B550M AORUS ELITE AX,119.99,AM4,Micro ATX,128,4,Black / Silver
MSI PRO B550M-VC WIFI,119.99,AM4,Micro ATX,128,4,Black
MSI PRO A620M-E,74.99,AM5,Micro ATX,96,2,Black
Asus TUF GAMING B650-E WIFI,169.99,AM5,ATX,192,4,Black / Orange
MSI PRO B760-P WIFI DDR4,149.99,LGA1700,ATX,128,4,Black
MSI B550-A PRO,108.98,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING B550-PLUS WIFI II,134.99,AM4,ATX,128,4,Black / Gray
Gigabyte X670 GAMING X AX V2,209.99,AM5,ATX,192,4,Black / Gray
Gigabyte X670E AORUS PRO X,299.99,AM5,ATX,192,4,White / Silver
MSI PRO Z790-P WIFI,189.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte B450M DS3H WIFI,74.98,AM4,Micro ATX,128,4,Brown / Black
Asus TUF GAMING B650M-PLUS WIFI,189.99,AM5,Micro ATX,192,4,Black
Asus TUF GAMING Z790-PRO WIFI,239.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-E GAMING WIFI,439.99,AM5,ATX,192,4,Black / Silver
Gigabyte B650 GAMING X AX,179.99,AM5,ATX,192,4,Black / Gray
MSI B450 Gaming Plus MAX,89.99,AM4,ATX,128,4,Red / Black
MSI B450M PRO-VDH MAX,79.59,AM4,Micro ATX,64,4,Black / Silver
Asus ROG MAXIMUS Z790 DARK HERO,572.46,LGA1700,ATX,192,4,Black
MSI MAG Z790 TOMAHAWK WIFI,187,LGA1700,ATX,192,4,Black
ASRock B650M Pro RS,134.99,AM5,Micro ATX,192,4,Black / Silver
NZXT N7 B650E,269.99,AM5,ATX,128,4,White
Asus ROG STRIX Z790-E GAMING WIFI II,439,LGA1700,ATX,192,4,Black
Asus ROG STRIX B550-A GAMING,139.99,AM4,ATX,128,4,Black / White
MSI MPG B550 GAMING PLUS,119.99,AM4,ATX,128,4,Black
Gigabyte A520M DS3H V2,92.47,AM4,Micro ATX,128,4,Gray / Brown
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black
Asus TUF GAMING X670E-PLUS WIFI,279.99,AM5,ATX,192,4,Black / Orange
Gigabyte B550 UD AC,104.42,AM4,ATX,128,4,Brown / Black
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black
ASRock B450M/ac R2.0,84.99,AM4,Micro ATX,128,4,Black / Silver
ASRock A620M Pro RS WiFi,149.99,AM5,Micro ATX,192,4,Silver / Black
MSI X670E GAMING PLUS WIFI,279,AM5,ATX,192,4,Silver / Black
Asus ROG CROSSHAIR X670E HERO,605.91,AM5,ATX,192,4,Black / Silver
Gigabyte B650M GAMING PLUS WF,139.99,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B450M K,84.18,AM4,Micro ATX,64,2,Brown / Silver
MSI PRO B760M-P DDR4,94.99,LGA1700,Micro ATX,128,4,Black
