name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 Hero,44.99,Optical,Wired,25600,Right,Black
Logitech G305 LIGHTSPEED,48.97,Optical,"Wired, Wireless",12000,Right,Black
Logitech PRO X Superlight 2,139.99,Optical,"Wired, Wireless",32000,Right,Black
Razer Basilisk V3,49.49,Optical,Wired,26000,Right,Black
FinalMouse Air58 Ninja,599.99,Optical,Wired,3200,Right,Blue
Razer DeathAdder Essential,19.53,Optical,Wired,6400,Right,White
Logitech G502 LIGHTSPEED,99.99,Optical,Wireless,25600,Right,Black
Logitech PRO X Superlight 2,149.88,Optical,"Wired, Wireless",32000,Right,White
Logitech G305 LIGHTSPEED,48.23,Optical,"Wired, Wireless",12000,Right,White
Logitech G Pro X Superlight,92.1,Optical,Wireless,25400,Right,Black
Razer Viper V3 Pro,149.99,Optical,"Wired, Wireless",35000,Right,Black
Lenovo GX30M39704 300,6.15,Laser,Wired,,Both,Black / Orange
Razer DeathAdder Essential,20.97,Optical,Wired,6400,Right,Black / Green
Logitech G Pro,69.98,Optical,"Wired, Wireless",25600,Both,Black
Logitech B100,7.99,Optical,Wired,800,,Black
Logitech G502 X Plus,158,Optical,"Wired, Wired, Wireless",25600,Right,Black
Razer Basilisk V3 Pro w/Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Glorious Model O-,54.99,Optical,"Wired, Wireless",19000,Right,White
SteelSeries Rival 3,20.99,Optical,Wired,8500,Right,Black
Logitech G203 Lightsync,29.89,Optical,Wired,8000,Right,Black
Logitech G502 X Plus,134,Optical,"Wired, Wired, Wireless",25600,Right,White
Razer Naga V2 Pro,179,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Redragon COBRA M711,19.98,Optical,Wired,10000,Right,Black / Multicolor
Logitech G Pro X Superlight,109.99,Optical,Wireless,25400,Right,White
Razer Viper V3 Pro,155,Optical,"Wired, Wireless",35000,Right,White
Razer Basilisk V3 Pro,118,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer DeathAdder V3 Pro,109.99,Optical,Wireless,30000,Right,Black
Razer DeathAdder V3,59.99,Optical,Wired,30000,Right,Black
