name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
Corsair RM850e (2023),119.16,ATX,gold,850,Full,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair RM650 (2023),89.99,ATX,gold,650,Full,Black
MSI MAG A650BN,69.09,ATX,bronze,650,false,Black
Gigabyte UD750GM,79.98,ATX,gold,750,Full,Black
Corsair RM850x (2021),114.99,ATX,gold,850,Full,Black
NZXT C750 (2022),79.98,ATX,gold,750,Full,Black
MSI MAG A550BN,55.74,ATX,bronze,550,false,Black
MSI MAG A750GL PCIE5,81.25,ATX,gold,750,Full,Black
MSI MAG A850GL PCIE5,104.8,ATX,gold,850,Full,Black
Thermaltake Smart,39.06,ATX,plus,500,false,
Corsair RM850,119.99,ATX,gold,850,Full,White / Black
Corsair RM1000x (2021),144.99,ATX,gold,1000,Full,Black
Asus ROG THOR 1600T Gaming,672.99,ATX,titanium,1600,Full,Silver / Black
Corsair SF750 (2024),179.99,SFX,platinum,750,Full,Black
MSI MAG A650GL,89.99,ATX,gold,650,Full,Black
Thermaltake Smart,40.99,ATX,plus,600,false,
Cooler Master MWE Gold 850 - V2,94.99,ATX,gold,850,Full,Black
Cooler Master V SFX Gold ATX 3.0,104.99,SFX,gold,850,Full,Black
Corsair SF1000 (2024),239.99,SFX,platinum,1000,Full,Black
Silverstone HELA,1163.07,ATX,,2050,Full,Black / White
NZXT C850 (2022),99.99,ATX,gold,850,Full,Black
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair CX (2023),79.37,ATX,bronze,750,false,Black
be quiet! Pure Power 12 M,114.9,ATX,gold,850,Full,Black
Corsair CX (2023),65.98,ATX,bronze,650,false,Black
Corsair CX (2023),59.99,ATX,bronze,550,false,Black
Thermaltake Toughpower GX2,63.99,ATX,gold,600,false,Black
MSI MAG A850GL PCIE5,110.88,ATX,gold,850,Full,White
Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black
Corsair HX1500i (2023),299.99,ATX,platinum,1500,Full,Black
Corsair AX1600i,559.99,ATX,titanium,1600,Full,
Corsair CX650M (2021),79.98,ATX,bronze,650,Semi,Black
SeaSonic FOCUS GX-1000 ATX 3.0,199.9,ATX,gold,1000,Full,Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
Thermaltake Toughpower GF A3 Snow,134.98,ATX,gold,850,Full,White
SeaSonic FOCUS Plus 650 Gold,96.99,ATX,gold,650,Full,
Corsair RM750,109.99,ATX,gold,750,Full,White / Black
be quiet! Dark Power 13,219.9,ATX,titanium,1000,Full,Black
EVGA 400 N1,35.49,ATX,,400,false,
Corsair SF850L,146.16,SFX,gold,850,Full,Black
be quiet! Pure Power 12 M,82.9,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 GT,129.99,ATX,gold,1000,Full,Black
Thermaltake Smart BM3,59.99,ATX,bronze,650,Semi,Black
EVGA 500 W1,51.99,ATX,plus,500,false,
SeaSonic FOCUS Plus Platinum,119.99,ATX,platinum,750,Full,
EVGA SuperNOVA 850 GT,114.99,ATX,gold,850,Full,Black
Gigabyte UD850GM,94.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 (2024),84.99,ATX,gold,750,Full,Black
NZXT C1000 (2022),129.99,ATX,gold,1000,Full,Black
Corsair SF850 (2024),199.99,SFX,platinum,850,Full,Black
Asus ROG THOR P2 Gaming,324.99,ATX,platinum,1200,Full,Silver / Black
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi,Black
Lian Li SP,144.06,SFX,gold,750,Full,Black
SeaSonic FOCUS GX,109.99,ATX,gold,750,Full,Black
MSI A1000G PCIE5,169.73,ATX,gold,1000,Full,Black
NZXT C1200,189.99,ATX,gold,1200,Full,Black
Corsair SF1000L,149.99,SFX,gold,1000,Full,Black
Lian Li EDGE,,ATX,platinum,1000,Full,White
EVGA SuperNOVA 750 GT,89.99,ATX,gold,750,Full,Black
Corsair CV550,,ATX,bronze,550,false,Black
MSI MPG A850G PCIE5,121.99,ATX,gold,850,Full,Black
Thermaltake Smart,54.99,ATX,plus,700,false,
SeaSonic FOCUS GX-850 ATX 3.0,169,ATX,gold,850,Full,Black
MSI MAG A750BN PCIE5,84.99,ATX,bronze,750,false,Black
Thermaltake Toughpower GF A3 Snow,164.99,ATX,gold,1050,Full,White
be quiet! Straight Power 12,169.9,ATX,platinum,1000,Full,Black
Thermaltake Toughpower GF1 (2024),90.99,ATX,gold,850,Full,Black
