name,price,capacity_w,capacity_va
CyberPower CP1500PFCLCD,219.95,1000,1500
APC SURT20KRMXLT,17175,16000,20000
APC SRT10KXLI,,10000,10000
APC SRT10KRMXLI,12999.99,10000,10000
CyberPower CP1500AVRLCD,183.11,900,1500
APC Back-UPS 1500,184.99,900,1500
CyberPower PR2200LCDSL,855.95,1980,2070
APC Back-UPS Pro 1500S,276,900,1500
CyberPower ST425,53.95,260,425
CyberPower CP1000PFCLCD,164.95,600,1000
APC SRT10KXLT,6844.06,10000,10000
CyberPower CP1500AVRLCD3,189.95,900,1500
CyberPower CP550SLG,69.95,330,550
CyberPower PR3000LCD,1319.95,2700,3000
CyberPower EC850LCD,109.95,510,850
APC Back-UPS Pro 1500,279.99,865,1500
PowerWalker Basic VI 2200 STL UK,,1320,2200
APC Back-UPS Pro 1500VA,159.94,900,1500
APC SRT5KXLI,5877.67,4500,5000
CyberPower CP350SLG,54.95,255,350
CyberPower OR2200LCDRT2U,604.95,1320,2000
Tripp Lite SMART1500PSGLCD,290.32,900,1500
APC Back-UPS Pro 700VA,140.52,420,700
CyberPower PR2200LCD,1029.95,1980,2200
CyberPower AVRG750U,109.95,450,750
CyberPower PR1500LCD,545.95,1050,1500
APC BE600M1,77.99,330,600
APC BE670M1,78.99,360,675
CyberPower CP1200AVR,152.95,720,1200
CyberPower CST135XLU,159.99,810,1350
CyberPower CP1500EPFCLCD,,900,1500
CyberPower CP1350PFCLCD,199.95,810,1350
APC Easy UPS BV1000I-MS 230V,,600,1000
APC Back-UPS 1000,169.99,600,1000
APC SMX1500RMI2U,804.7,1200,1500
APC Back-UPS Pro 1000S,171.2,600,1000
CyberPower OR2200PFCRT2U,669.95,1320,2000
APC SMT2200I,,1980,2200
APC SMX3000HV,2596.94,2700,3000
APC Back-UPS Pro 1500VA for Gaming,,900,1500
HP AF461A,2945,4500,5000
APC BE550G,85.99,330,550
Tripp Lite BC350,64.48,180,350
APC Back-UPS Pro 1500VA for Gaming,,900,1500
CyberPower EC750G,98.95,450,750
CyberPower OR2200LCDRTXL2U,822.95,1650,2190
APC BN1100M2,349.98,600,1100
CyberPower CP1300EPFCLCD,,780,1300
CyberPower EC650LCD,87.95,390,650
APC SRT6KXLT,4899.99,6000,6000
CyberPower LE1000DG,129.99,530,1000
CyberPower PR3000LCDSL,1173.95,2700,3000
Tripp Lite SMART1500LCD,307.99,900,1500
Tripp Lite ECO750UPS,107.95,450,750
CyberPower CP1000AVRLCD,159.94,600,1000
CyberPower CP900AVR,138.95,560,900
APC BK325I,,210,325
APC SRT5KRMXLT,2999.05,4250,5000
APC BR1500GI,543.99,865,1500
APC SUA5000RMI5U,8475,4000,5000
Tripp Lite INTERNET550U,74.25,300,550
APC Back-UPS 850,149.99,510,850
APC Back-UPS Pro 1350VA,182.99,810,1350
Tripp Lite SMART1500LCDT,232.67,900,1500
CyberPower OR1500LCDRTXL2U,629.95,1125,1500
CyberPower CP900EPFCLCD,,540,900
APC SURTA3000XL,1699.99,2100,3000
Tripp Lite SMART1500RMXL2UA,841,1350,1500
CyberPower CP1350AVRLCD,189.99,810,1350
APC SMX2000LV,1667.49,1800,1920
APC BE850G2,133.21,450,850
APC SMT1500US,,1000,1440
CyberPower OR500LCDRM1U,199.95,300,500
CyberPower OR700LCDRM1U,299.95,400,700
APC SUM3000RMXL2U,,2850,3000
Tripp Lite SU1500XLCD,961.19,1350,1500
APC SMT3000I,2118,2700,3000
APC SMX2200RMHV2U,2169.85,1980,2200
APC SRT5KXLT,4447.14,4250,5000
Tripp Lite SUINT2000XL,,1400,2000
CyberPower CP1500PFCLCDTAA,277.95,900,1500
CyberPower CP425SLG,,255,425
CyberPower CP850PFCLCD,154.94,510,850
CyberPower OL2200RTXL2U,1619.95,1800,2200
HP AF450A,195,950,1400
APC BN600G,69.98,360,600
APC Back-UPS 1350,189.99,810,1350
APC SMX1500RMI2UNC,1467.88,1200,1500
APC SUA5000RMT5U,4676.49,4000,5000
Tripp Lite SMT1500LCDT,250.99,900,1500
APC Back-UPS Pro 1350S,229.99,810,1350
APC SRT10KRMXLT,8500.54,10000,10000
Tripp Lite SMART2200RM2U,950,1920,2200
Tripp Lite SMART2200VS,947.26,1600,2200
CyberPower CP1500AVRT,194.95,900,1500
APC SMT1500,596.21,980,1500
APC BE650G1,94.99,390,650
APC BGE90M,,75,125
APC SMT1500RMI1U,1374.9,1000,1500
APC SMT2200US,1849,1980,2200
APC SMX3000HVNC,3166.02,2700,3000
Tripp Lite OMNIVS1000,200.22,500,1000
Tripp Lite OMNIVSINT1500XL,358.16,940,1500
CyberPower AVRG900U,109.95,480,900
Tripp Lite SM3000RMXL2UTAA,1308.19,2880,3000
APC SMC1500,532.79,900,1500
APC BK350,112.99,210,350
APC SMC1500I,,900,1500
CyberPower CP850AVRLCD,149.95,510,850
CyberPower PR5000LCDRTXL5U,3095.33,4000,5000
APC BN650M1,100,360,650
APC SMT2200,,1980,2200
APC SMX2200HV,2045.71,1980,2200
APC SMX3000LVNC,2201.47,2700,3000
APC SMX3000RMHV2U,1937.97,2700,3000
APC SRT8KRMXLT,5730,8000,8000
APC SURTD5000RMXLT3U,2835.36,3500,5000
CyberPower BRG1000AVRLCD,162.94,600,1000
CyberPower OL3000RTXL2U,2119.94,2700,3000
APC SUA2200RM2U,999,1980,2200
APC SRT5KRMXLI,5811.24,4500,5000
Tripp Lite SM2200RMNAFTA,2014.92,1600,2200
Tripp Lite SU2200XLCD,1200.82,1800,2200
CyberPower OR1000LCDRM1U,459.95,600,1000
APC BE400-CP,,240,400
APC SMT1500RMUS,649,1000,1500
APC SMT3000,2118,2700,3000
APC SMX3000RMLV2U,1978.21,2700,3000
