name,price,resolutions,connection,focus_type,os,fov
Logitech BRIO Ultra HD Pro,139.6,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",82
Razer Kiyo Pro Ultra,299.99,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",82
Elgato Facecam Pro,299.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",90
Anker PowerConf C200,59.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech C270,23.49,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
Insta360 Insta360 Link,224.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Logitech C920s HD Pro,69.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
OBSBOT Tiny 2,299,"4k,2k,1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",85.5
Logitech C920 HD Pro,69.9,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Razer Kiyo X,39.2,"1080p,720p",USB 2.0 Type-A,Auto,"Windows",82
Green Extreme T200,18.98,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",65
Razer Kiyo,54.5,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows",81.6
Logitech C922 Pro Stream HD,79.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Logitech MX BRIO,187.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Adesso Cybertrack H2,29.97,"480p",USB 2.0 Type-A,Fixed,"Windows,OS X",62
Anker B600 Video Bar,199.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
aoni A31,31.9,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux,ChromeOS,Android",84
Logitech BRIO STREAM,159,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",90
Razer Kiyo Pro,91.99,"1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows",103
Logitech StreamCam,139.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Asus Webcam C3,49.99,"1080p",USB 2.0 Type-A,,"Windows,OS X,ChromeOS",
Elgato FACECAM MK.2,129.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",84
Adesso Cybertrack H6,59.99,"4k",USB 2.0 Type-A,Fixed,"Windows,OS X",80
Anker AnkerWork C310,99.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
OBSBOT Tiny 4K,239,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90
Logitech C925e,82.45,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux",78
Elgato Facecam Premium,109.99,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82
Adesso Cybertrack H4,25.99,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Logitech C930e,69.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",90
Logitech StreamCam,139.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Wansview 101JD,22.99,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Asus ROG EYE,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",
Logitech StreamCam Plus,166.96,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",
Avermedia PW513,149.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94
Creative Labs Live! Cam Sync 1080p,51.52,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",77
Logitech C910,99.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Avermedia Live Streamer CAM 313,49.99,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Adesso CyberTrack H3,29,"720p",USB 2.0 Type-A,Manual,"Windows,OS X",
Logitech C505,49.49,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Adesso Cybertrack H5,48,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",80
Logitech C615 Portable,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
AUKEY PC-LM1,,"1080p,720p,480p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",55
Microsoft LifeCam Studio,71.23,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Logitech C505e,54.99,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Avermedia PW310P,44.99,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",73
Green Extreme T300,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94
Logitech B525,64.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",69
Microsoft LifeCam HD-3000,47.99,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Avermedia 4K UHD Webcam 510,,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,,"Windows",85
Green Extreme T1000,129,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",120
Logitech C310,62.4,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
