name,price,interface,color
TP-Link TG-3468,14.99,PCIe x1,
StarTech ST10GPEXNDPI,456.99,PCIe x4,Black / Silver
Asus XG-C100C,90.73,PCIe x4,
Intel X540-T2,84.99,PCIe x8,
TP-Link TX201,26.99,PCIe x1,Black / Gold
TP-Link TX401,79.98,PCIe x4,Red
Intel X520-DA1,99,PCIe x8,Green
Intel X550-T2,180,PCIe x4,
Intel EXPI9301CTBLK,33,PCIe x1,
Intel E1G44ET2BLK,349.95,PCIe x4,
TP-Link UE306,9.99,USB Type-A 3.2 Gen 1,Black
Syba SD-PEX24066,29.97,PCIe x1,Green / Black
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,79.98,PCIe x4,Green / Silver
Intel E1G42ETBLK,51,PCIe x4,
Gigabyte GC-AQC107,,PCIe x4,Black / White
Intel E1G44HTBLK,66,PCIe x4,
SIIG LB-GE0311-S1,,PCIe x8,Black / Green
TP-Link UE300,9.99,USB Type-A 3.2 Gen 1,
Intel EXPI9301CT,63,PCIe x1,
QNAP QXG5G1T111C,99,PCIe x1,Blue / Silver
StarTech ST10GSPEXNB2,167.54,PCIe x2,Silver / Black
Intel I226T1,79.38,PCIe x1,Green
Monoprice 112909,16.98,USB Type-C 3.2 Gen 2,White
Syba SI-PEX24042,36.99,PCIe x1,Green / Black
Intel X710-T2L,261.93,PCIe x8,Green / Black
StarTech ST1000SPEX42,341.44,PCIe x4,
StarTech ST10GSPEXNDP2,280.08,PCIe x4,Black / Silver
QNAP QXG2G2TI225,79,PCIe x2,Green / Copper
TRENDnet TEG-25GECTX,24.99,PCIe x1,Blue
Syba SD-PEX24055,89.99,PCIe x4,Green / Black
EDUP EP-9602GS,17.98,PCIe x1,Black
Asus USB-C2500,29.99,USB Type-A 3.2 Gen 1,Gray
QLogic QLE3242-CU-CK,,PCIe x8,
Supermicro AOC-STG-i2T,,PCIe x8,
QNAP QXG-10G1T,139,PCIe x4,
StarTech ST1000SPEX2L,22.77,PCIe x1,
Intel X520-T2,,PCIe x8,Green / Black
Syba SY-HUB24047,47.99,USB Type-A 3.2 Gen 1,Black
StarTech ST2GPEX,33.78,PCIe x1,Black
Syba SY-ADA24029,9.99,USB Type-A 2.0,
StarTech ST1000SPEX4,345.99,PCIe x4,
StarTech ST2000PEXPSE,150.19,PCIe x1,
Intel EXPI9404PTLBLK-1PK,,PCIe x4,
StarTech USB32000SPT,58.99,USB Type-A 3.2 Gen 1,
Asus PCE-C2500,,PCIe x1,Red
